Text;Labeling
Bekerja dari rumah atau work from home (WFH) akan kembali dilakukan di wilayah Bodebek dan Bandung Raya mulai 11 Januari 2021. #Jabar #WFH https://t.co/0Fq1sUC9fc;Positive
"Gubernur Jawa Barat Ridwan Kamil menetapkan status siaga 1 COVID-19 bagi Kabupaten Karawang dan Kota Depok. Di Kabupaten Karawang, ruang isolasi mencapai tingkat keterisian 110 persen.

https://t.co/fEKXDkB940";Positive
Pemulung Viral Bawa Bayi Diangkat Karyawan oleh Ridwan Kamil, Netizen: Tuhan Angkat Derajatnya;Positive
RT @infobdg: Ridwan Kamil: 11 Januari Bandung dan Bodebek Kembali Terapkan WFH https://t.co/WPCgNThKNQ #infoBDG https://t.co/UgU1DnlppN;Positive
Ridwan Kamil: Mulai 11 Januari, Bandung Raya dan Bodebek akan Perketat PSBB via @jabarekspres https://t.co/0DxtNly3aP;Positive
Ngomong ngomong soal bu risma saya mau bilang kalo bu risma , pak ridwan kamil dan pak ganjar . Yang KATANYA bisa narik hati masyarakat . Latar belakang partai mereka adalah partai sih mak banteng . trims .. ??;Positive
RT @KompasTV: Gubernur Jawa Barat, @ridwankamil meminta warga Jabar yang sudah terdaftar sebagai penerima vaksin tidak menolak. Ridwan Kami…;Positive
"Gubernur Jawa Barat, @ridwankamil meminta warga Jabar yang sudah terdaftar sebagai penerima vaksin tidak menolak. Ridwan Kamil menyebut pemberian vaksin bersifat wajib bukan pilihan. Karena vaksin dapat menyelamatkan masyarakat dari pandemi covid.

https://t.co/SmiU9SgGe6 https://t.co/q959BsnK99";Positive
"Makanya jgn jadi seleb(+platform). Popularitas ga bisa dipindahin. Gw udh mencoba sih, sulit.

Buktinya pd ga tau Emil siapa, Ridwan Kamil mah tau.

Kuasai platform tradisional (TV, radio, website) baru bisa stonks https://t.co/roFMkMG5ct";Positive
BANDUNG - Gubernur Jawa Barat (Jabar) Ridwan Kamil menilai, masyarakat yang mengikuti vaksinasi Covid-19 sudah melakukan bela negara dan berkontribusi besar menanggulangi https://t.co/Q2zOntzNje;Positive
Ridwan Kamil: Masyarakat Tidak Boleh Menolak Untuk Divaksin https://t.co/VYVT9IxC1x;Positive
"Ridwan Kamil: Distribusi Vaksin Covid-19 di Jabar Dilakukan secara Proporsional
??
https://t.co/PQ000YP6sR

#jabarnews #beritalokal #beritahiperlokal #beritajabar #beritajawabarat #jawabarat #jabar #ridwankamil #distribusivaksin19 #dijabar #dikalukanproposional

@ridwankamil https://t.co/lhuQGRz8sL";Positive
"RT @chloetowntale: 2. Undangan di atas disampaikan lewat Front TV.

Gimana dgn yg bilang,
'Silakan jenput HRS' yg disiarkan di media2 mains…";Positive
RT @detikcom: Bekerja dari rumah atau work from home (WFH) akan kembali dilakukan di wilayah Bodebek dan Bandung Raya mulai 11 Januari 2021…;Positive
#RismaRatuDrama... Blusukanya d Bogor Jawa Barat Bu.. biar Ridwan Kamil gerah...;Positive
Gubernur Ridwan Kamil sebut vaksinasi COVID-19 sebagai bentuk bela negara - ANTARA News Jawa Barat https://t.co/vP5d5AIbvp;Positive
Kalau menolak vaksin akan membahayakan kesehatan, keselamatan masyarakat dan keluarga https://t.co/eqB11aWnPK;Positive
"KOTA BANDUNG- Gubernur Jawa Barat, Mochamad Ridwan Kamil melakukan peninjauan gudang tempat penyimpanan vaksin Covid-19 buatan Sin ... https://t.co/a3wcTUP17B  
#Covid_19 #coronavirus #vaksincorona";Positive
